Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group
jed,['8ql'],['8ql'],[],[],[],[],"[('8ql', 4.0)]","[('8ql', 2.0)]","[('8ql', 1.0)]"
qcm,['z63'],['z63'],[],['z63'],[],[],"[('z63', 1.0)]","[('z63', 6.0)]","[('z63', 1.0)]"
00v,"['x27', 'xfz', '58c']","['x27', 'xfz', '58c']",[],[],[],[],"[('x27', 6.0), ('xfz', 2.0), ('58c', 0.0)]","[('x27', 5.0), ('xfz', 3.0), ('58c', 5.0)]","[('x27', 1.0), ('xfz', 1.0), ('58c', 1.0)]"
8fi,"['msn', 'qlq', 'iqk', 'ol7']","['msn', 'qlq', 'iqk', 'ol7']","['msn', 'qlq', 'iqk', 'ol7']","['msn', 'ol7']","['msn', 'qlq', 'iqk', 'ol7']",[],"[('msn', 5.0), ('qlq', 4.0), ('iqk', 5.0), ('ol7', 5.0)]","[('msn', 5.0), ('qlq', 6.0), ('iqk', 5.0), ('ol7', 3.0)]","[('msn', 1.0), ('qlq', 1.0), ('iqk', 1.0), ('ol7', 1.0)]"
3dg,"['8lm', '9jr', 'm7x', 'om3']","['8lm', '9jr']",[],[],[],[],"[('8lm', 4.0), ('9jr', 4.0), ('m7x', 4.0), ('om3', 4.0)]","[('8lm', 4.0), ('9jr', 6.0), ('m7x', 5.0), ('om3', 5.0)]","[('8lm', 1.0), ('9jr', 1.0), ('m7x', 2.0), ('om3', 3.0)]"
88o,"['cwn', 'oi6']",['cwn'],[],"['cwn', 'oi6']","['cwn', 'oi6']",['cwn'],"[('cwn', 4.0), ('oi6', 7.0)]","[('cwn', 1.0), ('oi6', 1.0)]","[('cwn', 1.0), ('oi6', 2.0)]"
ol7,"['8fi', 'qlq', 'iqk', 'msn']","['8fi', 'qlq', 'iqk', 'msn']","['8fi', 'qlq', 'iqk', 'msn']",[],"['8fi', 'qlq', 'iqk', 'msn']",[],"[('8fi', 3.0), ('qlq', 3.0), ('iqk', 3.0), ('msn', 3.0)]","[('8fi', 4.0), ('qlq', 4.0), ('iqk', 4.0), ('msn', 4.0)]","[('8fi', 1.0), ('qlq', 1.0), ('iqk', 1.0), ('msn', 1.0)]"
1uq,"['klf', 'yyj', 'bty', 'f07', '1ey', 'ayq', '1zx', '26o', 'ej8', '5sz', '1uq', 'jjt']","['klf', 'yyj', 'bty', 'f07', '1ey', 'ayq', '1zx', '26o', 'ej8', '5sz', '1uq', 'jjt']","['klf', 'f07']","['klf', '1ey']",[],[],"[('klf', 4.0), ('yyj', 4.0), ('bty', 4.0), ('f07', 5.0), ('1ey', 3.0), ('ayq', 4.0), ('1zx', 5.0), ('26o', 5.0), ('ej8', 5.0), ('5sz', 5.0), ('1uq', 5.0), ('jjt', 4.0)]","[('klf', 6.0), ('yyj', 3.0), ('bty', 3.0), ('f07', 4.0), ('1ey', 4.0), ('ayq', 3.0), ('1zx', 2.0), ('26o', 5.0), ('ej8', 3.0), ('5sz', 4.0), ('1uq', 4.0), ('jjt', 3.0)]","[('klf', 1.0), ('yyj', 1.0), ('bty', 1.0), ('f07', 1.0), ('1ey', 1.0), ('ayq', 1.0), ('1zx', 1.0), ('26o', 1.0), ('ej8', 1.0), ('5sz', 1.0), ('1uq', 1.0), ('jjt', 1.0)]"
qyx,['jne'],['jne'],['jne'],['jne'],[],[],"[('jne', 7.0)]","[('jne', 3.0)]",[]
07h,"['c38', 'zit', 'pdp', 'kq7']",[],[],['c38'],"['c38', 'zit', 'pdp', 'kq7']",[],"[('c38', 3.0), ('zit', 5.0), ('pdp', 4.0), ('kq7', 6.0)]","[('c38', 2.0), ('zit', 4.0), ('pdp', 4.0), ('kq7', 3.0)]","[('c38', 1.0), ('zit', 2.0), ('pdp', 3.0), ('kq7', 1.0)]"
q9a,"['cx9', 'zrm', '843', 'mjb', 'afp']",[],[],[],[],[],"[('cx9', 3.0), ('zrm', 4.0), ('843', 7.0), ('mjb', 5.0), ('afp', 4.0)]","[('cx9', 4.0), ('843', 6.0), ('mjb', 3.0), ('afp', 5.0)]","[('cx9', 1.0), ('zrm', 1.0), ('843', 1.0), ('mjb', 1.0), ('afp', 1.0)]"
tmy,"['v0p', 'n3q']","['v0p', 'n3q']",[],[],[],[],"[('v0p', 5.0), ('n3q', 6.0)]","[('v0p', 3.0), ('n3q', 6.0)]","[('v0p', 1.0), ('n3q', 1.0)]"
zrm,"['cx9', '843', 'afp', 'mjb']","['843', 'mjb']",[],['mjb'],['mjb'],[],"[('cx9', 8.0), ('843', 8.0), ('afp', 9.0), ('mjb', 6.0)]","[('cx9', 3.0), ('843', 5.0), ('afp', 5.0), ('mjb', 3.0)]","[('cx9', 1.0), ('843', 1.0), ('afp', 1.0), ('mjb', 1.0)]"
1ru,[],[],[],[],[],[],[],[],[]
gpm,"['k8p', 'yo0', '39j', 'vja']","['k8p', '39j']","['k8p', 'yo0', '39j', 'vja']",['k8p'],"['yo0', '39j', 'vja']",[],[],"[('k8p', 2.0), ('yo0', 7.0), ('39j', 3.0), ('vja', 3.0)]","[('k8p', 1.0), ('yo0', 1.0), ('39j', 1.0), ('vja', 1.0)]"
i9d,"['3rt', 'u5b', 'zfv', 'cav', '30d', '7mf', '8ke', 'bjp', 'l7r', '685', 'cx9']","['3rt', 'u5b', 'zfv', 'cav', '30d', '7mf', '8ke', 'bjp', 'l7r', '685', 'cx9']","['3rt', 'zfv', 'cav', '7mf', 'l7r']","['3rt', 'cav', 'bjp', 'l7r']",['7mf'],"['3rt', '7mf']","[('3rt', 6.0), ('u5b', 5.0), ('zfv', 6.0), ('cav', 6.0), ('30d', 5.0), ('7mf', 5.0), ('8ke', 5.0), ('bjp', 6.0), ('l7r', 7.0), ('685', 8.0), ('cx9', 9.0)]","[('3rt', 3.0), ('u5b', 3.0), ('zfv', 4.0), ('cav', 4.0), ('30d', 4.0), ('7mf', 7.0), ('8ke', 4.0), ('bjp', 4.0), ('l7r', 5.0), ('685', 5.0), ('cx9', 6.0)]","[('3rt', 1.0), ('u5b', 2.0), ('zfv', 2.0), ('cav', 2.0), ('30d', 2.0), ('7mf', 1.0), ('8ke', 2.0), ('bjp', 2.0), ('l7r', 2.0), ('685', 3.0), ('cx9', 4.0)]"
msn,"['8fi', 'qlq', 'ol7', 'f07', 'klf']","['8fi', 'qlq', 'ol7', 'f07', 'klf']",[],[],[],[],"[('8fi', 3.0), ('qlq', 2.0), ('ol7', 3.0), ('f07', 4.0), ('klf', 4.0)]","[('8fi', 5.0), ('qlq', 5.0), ('ol7', 5.0), ('f07', 3.0), ('klf', 5.0)]","[('8fi', 1.0), ('qlq', 1.0), ('ol7', 1.0), ('f07', 2.0), ('klf', 2.0)]"
rvu,[],[],[],[],[],[],[],[],[]
zvr,"['t6m', 'zit']","['t6m', 'zit']",[],[],[],[],"[('t6m', 3.0), ('zit', 3.0)]","[('t6m', 2.0), ('zit', 4.0)]","[('t6m', 1.0), ('zit', 2.0)]"
8yu,"['5nw', 'svh', 'fsu']",['5nw'],['5nw'],['5nw'],['5nw'],[],"[('5nw', 4.0), ('svh', 0.0), ('fsu', 0.0)]","[('5nw', 6.0), ('svh', 3.0), ('fsu', 3.0)]","[('5nw', 1.0), ('svh', 2.0), ('fsu', 2.0)]"
vja,"['k8p', 'gpm']",[],['gpm'],[],[],[],"[('k8p', 1.0), ('gpm', 1.0)]","[('k8p', 3.0), ('gpm', 3.0)]","[('k8p', 1.0), ('gpm', 1.0)]"
2g7,"['w10', 'zit', 'fle', 'gd8', 'xfz', 'w9x', 'j0g', 'yvz']","['w10', 'zit', 'fle', 'gd8', 'xfz', 'w9x', 'j0g', 'yvz']",[],[],[],[],"[('w10', 4.0), ('zit', 4.0), ('fle', 5.0), ('gd8', 4.0), ('xfz', 6.0), ('j0g', 3.0), ('yvz', 5.0)]","[('w10', 4.0), ('zit', 5.0), ('fle', 4.0), ('gd8', 3.0), ('xfz', 3.0), ('w9x', 4.0), ('j0g', 5.0), ('yvz', 3.0)]","[('w10', 1.0), ('zit', 1.0), ('fle', 1.0), ('gd8', 1.0), ('xfz', 1.0), ('w9x', 1.0), ('j0g', 1.0), ('yvz', 2.0)]"
m80,[],[],[],[],[],[],[],[],[]
ej8,"['5sz', '1uq', 'jjt', 'yyj', 'bty', '26o', 'ayq', '1ey', 'klf']","['5sz', '1uq', 'jjt', 'yyj', 'bty', '26o', 'ayq', '1ey', 'klf']","['yyj', 'bty', '26o', 'ayq', '1ey']",['jjt'],"['jjt', 'yyj', 'bty', '26o', 'ayq', '1ey']",['jjt'],"[('5sz', 5.0), ('1uq', 8.0), ('jjt', 8.0), ('yyj', 6.0), ('bty', 5.0), ('26o', 8.0), ('ayq', 6.0), ('1ey', 6.0), ('klf', 8.0)]","[('5sz', 6.0), ('1uq', 0.0), ('jjt', 8.0), ('yyj', 3.0), ('bty', 5.0), ('26o', 4.0), ('ayq', 3.0), ('1ey', 4.0), ('klf', 4.0)]","[('5sz', 1.0), ('1uq', 1.0), ('jjt', 1.0), ('yyj', 1.0), ('bty', 1.0), ('26o', 1.0), ('ayq', 1.0), ('1ey', 1.0), ('klf', 1.0)]"
cp4,"['qlq', '7mf', '9vw', '95j']",['7mf'],"['qlq', '9vw', '95j']",[],[],[],"[('qlq', 5.0), ('7mf', 3.0), ('9vw', 3.0), ('95j', 5.0)]","[('qlq', 5.0), ('7mf', 8.0), ('9vw', 5.0), ('95j', 5.0)]","[('qlq', 1.0), ('7mf', 2.0), ('9vw', 1.0), ('95j', 1.0)]"
swx,['swx'],[],[],['swx'],[],[],"[('swx', 0.0)]","[('swx', 8.0)]",[]
yo0,"['39j', 'gpm', 'k8p']",[],"['39j', 'gpm', 'k8p']","['39j', 'gpm', 'k8p']",[],[],"[('39j', 4.0), ('gpm', 6.0), ('k8p', 3.0)]","[('39j', 4.0), ('gpm', 5.0), ('k8p', 5.0)]","[('39j', 1.0), ('gpm', 1.0), ('k8p', 1.0)]"
i49,"['obm', 'v0p', 'n3q', '7a9']","['obm', 'v0p', 'n3q', '7a9']","['obm', 'v0p', 'n3q', '7a9']",[],['v0p'],[],"[('obm', 7.0), ('v0p', 8.0), ('n3q', 5.0), ('7a9', 9.0)]","[('obm', 5.0), ('v0p', 3.0), ('n3q', 8.0), ('7a9', 5.0)]","[('obm', 1.0), ('v0p', 1.0), ('n3q', 1.0), ('7a9', 1.0)]"
obm,"['i49', '7a9', 'n3q']",[],"['i49', 'n3q']",['n3q'],[],[],"[('i49', 7.0), ('7a9', 7.0), ('n3q', 4.0)]","[('i49', 6.0), ('7a9', 6.0), ('n3q', 6.0)]","[('i49', 1.0), ('7a9', 1.0), ('n3q', 1.0)]"
fph,"['vhs', 'b9u', 'osf']",[],"['vhs', 'b9u', 'osf']",[],[],[],"[('vhs', 4.0), ('b9u', 4.0), ('osf', 4.0)]","[('vhs', 4.0), ('b9u', 4.0), ('osf', 4.0)]","[('vhs', 1.0), ('b9u', 1.0), ('osf', 1.0)]"
95j,"['9vw', 'cp4', 'qlq', '4aw']","['9vw', 'qlq', '4aw']",[],"['9vw', 'qlq', '4aw']",[],['4aw'],"[('9vw', 1.0), ('cp4', 1.0), ('qlq', 1.0), ('4aw', 1.0)]","[('9vw', 6.0), ('cp4', 4.0), ('qlq', 4.0), ('4aw', 7.0)]","[('9vw', 1.0), ('cp4', 1.0), ('qlq', 2.0), ('4aw', 3.0)]"
5sz,"['1ey', 'ayq', '1zx', '26o', 'ej8', '1uq', 'jjt', 'yyj', 'bty']","['ayq', '1zx', '26o', '1uq', 'jjt', 'yyj', 'bty']","['1ey', 'ayq']",['ej8'],['1zx'],"['1ey', 'ayq', '1zx', '26o', 'yyj', 'bty']","[('1ey', 7.0), ('ayq', 8.0), ('1zx', 6.0), ('26o', 7.0), ('ej8', 7.0), ('1uq', 8.0), ('jjt', 5.0), ('yyj', 6.0), ('bty', 7.0)]","[('1ey', 5.0), ('ayq', 5.0), ('1zx', 6.0), ('26o', 4.0), ('ej8', 5.0), ('1uq', 7.0), ('jjt', 6.0), ('yyj', 4.0), ('bty', 5.0)]","[('1ey', 1.0), ('ayq', 1.0), ('1zx', 1.0), ('26o', 1.0), ('ej8', 1.0), ('1uq', 1.0), ('jjt', 1.0), ('yyj', 1.0), ('bty', 1.0)]"
u5b,"['30d', 'oae', 'zfv', '7mf', '3rt', 'cav', '1k3', 'rji', 'poi', 'n64', '8ke', 'bjp', 'l7r', 'i9d', 'h3h']","['30d', 'oae', 'zfv', '3rt', 'cav', '1k3', 'rji', 'poi', 'n64', '8ke', 'bjp', 'l7r', 'i9d', 'h3h']","['30d', 'zfv', '7mf', '3rt', 'cav', '1k3', 'rji', '8ke', 'bjp', 'l7r', 'i9d', 'h3h']","['30d', '1k3', 'rji', '8ke', 'bjp', 'l7r', 'h3h']",['l7r'],[],"[('30d', 3.0), ('oae', 5.0), ('zfv', 5.0), ('7mf', 5.0), ('3rt', 5.0), ('cav', 5.0), ('1k3', 3.0), ('rji', 5.0), ('poi', 4.0), ('n64', 6.0), ('8ke', 5.0), ('bjp', 3.0), ('l7r', 4.0), ('i9d', 4.0), ('h3h', 3.0)]","[('30d', 1.0), ('oae', 3.0), ('zfv', 6.0), ('7mf', 3.0), ('3rt', 2.0), ('cav', 3.0), ('1k3', 2.0), ('rji', 7.0), ('poi', 2.0), ('n64', 4.0), ('8ke', 3.0), ('bjp', 3.0), ('l7r', 1.0), ('i9d', 3.0), ('h3h', 2.0)]","[('30d', 1.0), ('oae', 1.0), ('zfv', 1.0), ('7mf', 1.0), ('3rt', 1.0), ('cav', 1.0), ('1k3', 4.0), ('rji', 1.0), ('poi', 2.0), ('n64', 3.0), ('8ke', 1.0), ('bjp', 1.0), ('l7r', 1.0), ('i9d', 1.0), ('h3h', 1.0)]"
n3q,"['v0p', '7a9', 'tmy']",['7a9'],"['v0p', 'tmy']",[],[],[],"[('v0p', 6.0), ('7a9', 8.0), ('tmy', 6.0)]","[('v0p', 6.0), ('7a9', 6.0), ('tmy', 6.0)]","[('v0p', 1.0), ('7a9', 1.0), ('tmy', 2.0)]"
5ga,"['20r', 'kfs']",['kfs'],[],[],[],[],"[('20r', 4.0), ('kfs', 1.0)]","[('20r', 7.0), ('kfs', 5.0)]","[('20r', 2.0), ('kfs', 1.0)]"
om3,"['m7x', '8lm', '3dg', 'yc4', 'hjk', '99v', '467', 'g52']","['m7x', '8lm', '3dg', 'yc4', 'hjk', '99v', '467', 'g52']",[],[],[],[],"[('m7x', 3.0), ('8lm', 3.0), ('3dg', 3.0), ('yc4', 3.0), ('hjk', 3.0), ('99v', 3.0), ('467', 3.0), ('g52', 3.0)]","[('m7x', 3.0), ('8lm', 3.0), ('3dg', 3.0), ('yc4', 3.0), ('hjk', 3.0), ('99v', 3.0), ('467', 3.0), ('g52', 3.0)]","[('m7x', 1.0), ('8lm', 1.0), ('3dg', 1.0), ('yc4', 1.0), ('hjk', 1.0), ('99v', 1.0), ('467', 1.0), ('g52', 1.0)]"
6z8,"['98q', 'hyf', '3z0', 'vug', 'upq', 'oev']","['98q', 'hyf', '3z0', 'vug', 'upq']","['hyf', 'vug', 'upq']","['98q', 'hyf', 'vug', 'upq']","['98q', 'hyf', 'vug']",[],"[('98q', 7.0), ('hyf', 7.0), ('3z0', 7.0), ('vug', 7.0), ('upq', 7.0), ('oev', 7.0)]","[('98q', 3.0), ('hyf', 3.0), ('3z0', 0.0), ('vug', 4.0), ('upq', 3.0), ('oev', 0.0)]","[('98q', 1.0), ('hyf', 1.0), ('3z0', 1.0), ('vug', 1.0), ('upq', 1.0), ('oev', 1.0)]"
uzs,['9sx'],[],[],['9sx'],[],[],"[('9sx', 7.0)]","[('9sx', 6.0)]","[('9sx', 1.0)]"
a3g,[],[],[],[],[],[],[],[],[]
rji,"['vrj', 'i9d', 'h3h', '30d', 'oae', 'poi', 'cx9', 'nre', 'n64', '8ke', 'bjp', 'l7r', 'u5b']","['h3h', '30d', 'oae', '8ke', 'bjp', 'u5b']","['vrj', '30d', 'oae', '8ke', 'bjp']","['h3h', '30d', 'oae', 'cx9', '8ke', 'bjp']","['cx9', 'nre', 'n64']",[],"[('vrj', 8.0), ('i9d', 7.0), ('h3h', 5.0), ('30d', 5.0), ('oae', 5.0), ('poi', 6.0), ('cx9', 6.0), ('nre', 7.0), ('n64', 8.0), ('8ke', 5.0), ('bjp', 6.0), ('l7r', 9.0), ('u5b', 6.0)]","[('vrj', 5.0), ('i9d', 4.0), ('h3h', 4.0), ('30d', 4.0), ('oae', 5.0), ('poi', 4.0), ('cx9', 5.0), ('nre', 6.0), ('n64', 5.0), ('8ke', 4.0), ('bjp', 4.0), ('l7r', 5.0), ('u5b', 5.0)]","[('vrj', 2.0), ('i9d', 3.0), ('h3h', 1.0), ('30d', 1.0), ('oae', 1.0), ('poi', 2.0), ('cx9', 2.0), ('nre', 2.0), ('n64', 2.0), ('8ke', 2.0), ('bjp', 1.0), ('l7r', 1.0), ('u5b', 1.0)]"
dzv,['1ey'],[],[],['1ey'],[],[],"[('1ey', 4.0)]","[('1ey', 4.0)]","[('1ey', 2.0)]"
30d,"['h3h', 'oae', 'zfv', '3rt', 'cav', 'rji', 'poi', 'nre', 'n64', '8ke', 'bjp', 'l7r', 'u5b']","['h3h', 'oae', 'zfv', '3rt', 'cav', 'poi', 'nre', 'n64', '8ke', 'bjp', 'l7r', 'u5b']","['bjp', 'l7r', 'u5b']","['8ke', 'bjp', 'l7r', 'u5b']",[],['bjp'],"[('h3h', 0.0), ('oae', 6.0), ('zfv', 0.0), ('3rt', 0.0), ('cav', 0.0), ('rji', 8.0), ('poi', 0.0), ('nre', 0.0), ('n64', 0.0), ('8ke', 8.0), ('bjp', 6.0), ('l7r', 10.0), ('u5b', 6.0)]","[('h3h', 0.0), ('oae', 6.0), ('zfv', 0.0), ('3rt', 0.0), ('cav', 0.0), ('rji', 4.0), ('poi', 5.0), ('nre', 0.0), ('n64', 0.0), ('8ke', 4.0), ('bjp', 5.0), ('l7r', 5.0), ('u5b', 4.0)]","[('h3h', 5.0), ('oae', 6.0), ('zfv', 7.0), ('3rt', 8.0), ('cav', 9.0), ('rji', 1.0), ('poi', 2.0), ('nre', 3.0), ('n64', 4.0), ('8ke', 1.0), ('bjp', 1.0), ('l7r', 1.0), ('u5b', 1.0)]"
5ci,"['ctx', 'r9o', 'r75']","['ctx', 'r9o']",[],[],[],[],"[('ctx', 6.0), ('r9o', 2.0), ('r75', 5.0)]","[('ctx', 7.0), ('r9o', 5.0), ('r75', 3.0)]","[('ctx', 1.0), ('r9o', 1.0), ('r75', 2.0)]"
6b9,"['o2r', 'tuf', 'fle', 'pr2', '6hy']","['tuf', 'pr2']",[],"['o2r', 'tuf', 'pr2']",[],['o2r'],"[('o2r', 3.0), ('tuf', 5.0), ('fle', 7.0), ('pr2', 4.0), ('6hy', 0.0)]","[('o2r', 0.0), ('tuf', 0.0), ('fle', 0.0), ('pr2', 0.0), ('6hy', 0.0)]","[('o2r', 1.0), ('tuf', 2.0), ('fle', 3.0), ('pr2', 2.0), ('6hy', 4.0)]"
oae,"['zme', '30d', '8ke', 'pkl']","['zme', '30d', '8ke', 'pkl']",['zme'],"['zme', '30d', '8ke', 'pkl']",['zme'],['zme'],"[('zme', 1.0), ('30d', 5.0), ('8ke', 4.0), ('pkl', 5.0)]","[('zme', 4.0), ('30d', 3.0), ('8ke', 3.0), ('pkl', 4.0)]","[('zme', 1.0), ('30d', 2.0), ('8ke', 2.0), ('pkl', 3.0)]"
7a9,"['v0p', 'n3q', 'obm', 'i49']","['v0p', 'n3q', 'obm', 'i49']","['n3q', 'obm']",['n3q'],['n3q'],['n3q'],"[('v0p', 6.0), ('n3q', 6.0), ('obm', 8.0), ('i49', 7.0)]","[('v0p', 4.0), ('n3q', 7.0), ('obm', 7.0), ('i49', 3.0)]","[('v0p', 1.0), ('n3q', 1.0), ('obm', 1.0), ('i49', 1.0)]"
9vw,"['95j', 'cp4', 'qlq']","['95j', 'qlq']","['95j', 'cp4', 'qlq']","['95j', 'qlq']","['cp4', 'qlq']",[],"[('95j', 1.0), ('cp4', 1.0), ('qlq', 1.0)]","[('95j', 5.0), ('cp4', 5.0), ('qlq', 5.0)]","[('95j', 1.0), ('cp4', 1.0), ('qlq', 1.0)]"
cx9,"['r3x', 'vrj', '98q', 'n64', 'wep', 'qdi', '3s1', '44p', 'aq6', 'qip', 'zrm', '843', 'mjb', 'afp', 'kq7', 'rji']","['r3x', 'vrj', '98q', 'n64', 'qdi', '3s1', '44p', 'aq6', 'qip', 'zrm', '843', 'mjb', 'afp', 'kq7', 'rji']",[],[],[],[],"[('r3x', 4.0), ('vrj', 4.0), ('98q', 5.0), ('n64', 5.0), ('wep', 4.0), ('qdi', 4.0), ('3s1', 4.0), ('44p', 4.0), ('aq6', 4.0), ('qip', 5.0), ('zrm', 6.0), ('843', 5.0), ('mjb', 4.0), ('afp', 5.0), ('kq7', 6.0), ('rji', 5.0)]","[('r3x', 4.0), ('vrj', 4.0), ('98q', 4.0), ('n64', 3.0), ('wep', 4.0), ('qdi', 4.0), ('3s1', 4.0), ('44p', 4.0), ('aq6', 3.0), ('qip', 4.0), ('zrm', 4.0), ('843', 5.0), ('mjb', 4.0), ('afp', 3.0), ('kq7', 4.0), ('rji', 4.0)]","[('r3x', 1.0), ('vrj', 1.0), ('98q', 1.0), ('n64', 1.0), ('wep', 1.0), ('qdi', 1.0), ('3s1', 1.0), ('44p', 1.0), ('aq6', 1.0), ('qip', 1.0), ('zrm', 1.0), ('843', 1.0), ('mjb', 1.0), ('afp', 1.0), ('kq7', 1.0), ('rji', 1.0)]"
is2,"['3ue', 'ier', '87a']","['3ue', 'ier', '87a']","['3ue', 'ier']","['3ue', 'ier']",['ier'],[],"[('3ue', 4.0), ('ier', 3.0), ('87a', 0.0)]","[('3ue', 3.0), ('ier', 4.0), ('87a', 3.0)]","[('3ue', 1.0), ('ier', 1.0), ('87a', 1.0)]"
qdi,"['aq6', 'qip', '1cb', 'dn0', 'r3x', 'cx9']","['aq6', 'qip', '1cb', 'dn0', 'r3x', 'cx9']",[],[],[],[],"[('aq6', 5.0), ('qip', 3.0), ('1cb', 4.0), ('dn0', 6.0), ('r3x', 5.0), ('cx9', 5.0)]","[('aq6', 5.0), ('qip', 6.0), ('1cb', 3.0), ('dn0', 4.0), ('r3x', 4.0), ('cx9', 6.0)]","[('aq6', 1.0), ('qip', 1.0), ('1cb', 1.0), ('dn0', 2.0), ('r3x', 1.0), ('cx9', 3.0)]"
6hy,"['ier', 'is2', 'uqn', '6b9']","['ier', 'is2']",['6b9'],[],[],['uqn'],"[('ier', 4.0), ('is2', 4.0), ('uqn', 4.0), ('6b9', 4.0)]","[('ier', 3.0), ('is2', 3.0), ('uqn', 3.0), ('6b9', 3.0)]","[('ier', 1.0), ('is2', 1.0), ('uqn', 2.0), ('6b9', 3.0)]"
e8i,"['2wb', 'f7n', '4og', 'erw', 'iy3', 'pdp', 'fle', 'ty0']","['2wb', 'f7n', '4og', 'erw']",[],"['2wb', 'f7n', '4og', 'erw']",[],[],"[('2wb', 5.0), ('f7n', 5.0), ('4og', 5.0), ('erw', 5.0), ('iy3', 5.0), ('pdp', 5.0), ('fle', 5.0), ('ty0', 5.0)]","[('2wb', 4.0), ('f7n', 5.0), ('4og', 4.0), ('erw', 5.0), ('iy3', 4.0), ('pdp', 4.0), ('fle', 4.0), ('ty0', 4.0)]","[('2wb', 1.0), ('f7n', 1.0), ('4og', 1.0), ('erw', 1.0)]"
ayq,"['cav', '26o', 'ej8', '5sz', '1uq', 'yyj', 'bty', '0fo', 'hro', 'wom', 'pfr', '1ey', '1zx']","['cav', 'ej8', '5sz', 'yyj', 'bty', '0fo', 'hro', 'wom', '1ey', '1zx']","['cav', '5sz', 'yyj', '0fo', 'hro', 'wom', 'pfr']","['cav', '5sz', 'yyj', 'bty', '0fo', 'hro', 'wom', '1zx']","['26o', 'ej8', '5sz', 'yyj', 'hro', '1ey', '1zx']","['ej8', '5sz', '1uq', 'yyj', 'bty', 'wom', '1ey', '1zx']","[('cav', 6.0), ('26o', 8.0), ('ej8', 5.0), ('5sz', 5.0), ('1uq', 8.0), ('bty', 6.0), ('0fo', 4.0), ('yyj', 4.0), ('hro', 3.0), ('wom', 3.0), ('pfr', 5.0), ('1ey', 6.0), ('1zx', 6.0)]","[('cav', 5.0), ('26o', 5.0), ('ej8', 3.0), ('5sz', 4.0), ('1uq', 4.0), ('yyj', 4.0), ('bty', 3.0), ('0fo', 5.0), ('hro', 4.0), ('wom', 5.0), ('pfr', 6.0), ('1ey', 6.0), ('1zx', 5.0)]","[('cav', 1.0), ('26o', 2.0), ('ej8', 2.0), ('5sz', 2.0), ('1uq', 2.0), ('yyj', 2.0), ('bty', 2.0), ('0fo', 1.0), ('hro', 1.0), ('wom', 1.0), ('pfr', 1.0), ('1ey', 2.0), ('1zx', 2.0)]"
nre,"['hyf', '98q', 'n64', 'rji', 'vrj', 'poi']","['hyf', '98q', 'n64']","['hyf', '98q', 'n64']","['hyf', '98q', 'n64', 'rji', 'vrj', 'poi']","['hyf', '98q', 'n64']",[],"[('hyf', 4.0), ('98q', 3.0), ('n64', 5.0), ('rji', 0.0), ('vrj', 0.0), ('poi', 0.0)]","[('hyf', 3.0), ('98q', 2.0), ('n64', 3.0), ('rji', 6.0), ('vrj', 5.0), ('poi', 0.0)]","[('hyf', 1.0), ('98q', 1.0), ('n64', 1.0), ('rji', 2.0), ('vrj', 3.0), ('poi', 4.0)]"
w10,"['5ul', 'zit', 'fle', 'xfz', 'gd8', 'j0g']","['5ul', 'zit', 'j0g']",[],"['fle', 'xfz', 'gd8']",[],[],"[('5ul', 0.0), ('zit', 0.0), ('fle', 0.0), ('xfz', 0.0), ('gd8', 0.0), ('j0g', 0.0)]","[('5ul', 7.0), ('zit', 6.0), ('fle', 6.0), ('xfz', 3.0), ('gd8', 2.0), ('j0g', 5.0)]","[('5ul', 1.0), ('zit', 2.0), ('fle', 2.0), ('xfz', 2.0), ('gd8', 2.0), ('j0g', 2.0)]"
7mf,"['rji', '685', 'it8', 'u5b', 'zfv', '3rt', 'i9d', 'cav', 'cp4', 'qlq', '9vw']","['rji', '685', 'it8', 'u5b', 'zfv', '3rt', 'i9d', 'cav', 'cp4', 'qlq', '9vw']","['3rt', 'i9d', 'cp4']","['685', 'cp4']","['3rt', 'i9d', 'cp4']","['3rt', 'i9d']","[('rji', 5.0), ('685', 6.0), ('it8', 7.0), ('u5b', 6.0), ('zfv', 4.0), ('3rt', 3.0), ('i9d', 3.0), ('cav', 3.0), ('cp4', 2.0), ('qlq', 2.0), ('9vw', 2.0)]","[('rji', 0.0), ('685', 0.0), ('it8', 0.0), ('u5b', 0.0), ('zfv', 0.0), ('3rt', 3.0), ('i9d', 7.0), ('cav', 0.0), ('cp4', 4.0), ('qlq', 0.0), ('9vw', 0.0)]","[('rji', 3.0), ('685', 2.0), ('it8', 2.0), ('u5b', 3.0), ('zfv', 3.0), ('3rt', 8.0), ('i9d', 8.0), ('cav', 3.0), ('cp4', 1.0), ('qlq', 1.0), ('9vw', 1.0)]"
j1i,['g1x'],['g1x'],['g1x'],['g1x'],[],['g1x'],"[('g1x', 4.0)]","[('g1x', 3.0)]","[('g1x', 1.0)]"
