Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group
upq,"['oev', 'hyf', 'ier', '6z8', 'hxt']","['oev', 'hyf', 'ier']","['oev', 'ier', '6z8']",['hxt'],"['oev', 'hyf']",['oev'],"[('oev', 7.0), ('hyf', 7.0), ('ier', 6.0), ('6z8', 8.0), ('hxt', 4.0)]","[('oev', 3.0), ('hyf', 4.0), ('ier', 4.0), ('6z8', 6.0), ('hxt', 5.0)]","[('oev', 1.0), ('hyf', 2.0), ('ier', 2.0), ('6z8', 3.0), ('hxt', 4.0)]"
i1l,['ph3'],['ph3'],[],['ph3'],[],[],"[('ph3', 1.0)]","[('ph3', 0.0)]",[]
oev,"['8wd', 'ren', 'ktg', 'wu1', 'nre', '98q']",['98q'],['98q'],['98q'],['98q'],['98q'],"[('8wd', 0.0), ('ren', 0.0), ('ktg', 0.0), ('wu1', 0.0), ('nre', 0.0), ('98q', 0.0)]","[('8wd', 4.0), ('ren', 3.0), ('ktg', 4.0), ('wu1', 5.0), ('nre', 4.0), ('98q', 3.0)]","[('8wd', 3.0), ('ren', 3.0), ('ktg', 2.0), ('wu1', 2.0), ('nre', 2.0), ('98q', 1.0)]"
1n8,['wu1'],['wu1'],[],[],[],[],"[('wu1', 5.0)]","[('wu1', 0.0)]","[('wu1', 1.0)]"
kq7,"['g8f', '8bz', 'afp', 'mjb']","['g8f', '8bz', 'afp', 'mjb']",[],[],[],[],"[('g8f', 4.0), ('8bz', 4.0), ('afp', 4.0), ('mjb', 4.0)]","[('g8f', 3.0), ('8bz', 3.0), ('afp', 3.0), ('mjb', 3.0)]","[('g8f', 1.0), ('8bz', 1.0), ('afp', 2.0), ('mjb', 2.0)]"
ka0,['kd6'],['kd6'],[],[],[],[],"[('kd6', 6.0)]","[('kd6', 6.0)]","[('kd6', 1.0)]"
hyf,"['nre', '98q', '3z0', 'oev', 'vug', '6z8', 'f07']","['nre', '98q', '3z0', 'oev', 'vug', '6z8', 'f07']","['nre', '98q', 'oev', 'vug']","['nre', '98q', 'vug', 'f07']",['vug'],[],"[('nre', 0.0), ('98q', 0.0), ('3z0', 0.0), ('oev', 0.0), ('vug', 0.0), ('6z8', 0.0), ('f07', 0.0)]","[('nre', 3.0), ('98q', 3.0), ('3z0', 2.0), ('oev', 2.0), ('vug', 2.0), ('6z8', 2.0), ('f07', 2.0)]","[('nre', 1.0), ('98q', 1.0), ('3z0', 1.0), ('oev', 1.0), ('vug', 1.0), ('6z8', 1.0), ('f07', 2.0)]"
vug,"['hyf', 'upq', '3z0']",['hyf'],"['hyf', '3z0']","['hyf', 'upq', '3z0']",[],[],"[('hyf', 0.0), ('upq', 0.0), ('3z0', 0.0)]","[('hyf', 2.0), ('upq', 2.0), ('3z0', 2.0)]","[('hyf', 1.0), ('upq', 1.0), ('3z0', 1.0)]"
li1,['cuz'],['cuz'],[],[],[],[],"[('cuz', 6.0)]","[('cuz', 5.0)]","[('cuz', 1.0)]"
gd8,[],[],[],[],[],[],[],[],[]
oi6,[],[],[],[],[],[],[],[],[]
k3y,"['99v', 'muh', '2fc', '0fo']","['99v', '0fo']",[],"['muh', '2fc']",[],[],"[('99v', 0.0), ('muh', 0.0), ('2fc', 0.0), ('0fo', 0.0)]","[('99v', 1.0), ('muh', 0.0), ('2fc', 0.0), ('0fo', 0.0)]","[('99v', 4.0), ('muh', 3.0), ('2fc', 2.0), ('0fo', 1.0)]"
1ds,"['8bz', 'g8f', 'mjb', '1k3', 'qoh', 'pgw']","['8bz', 'g8f', 'mjb', '1k3', 'qoh', 'pgw']","['g8f', '1k3', 'pgw']",[],"['g8f', '1k3']",[],"[('8bz', 0.0), ('g8f', 0.0), ('mjb', 0.0), ('1k3', 0.0), ('qoh', 0.0), ('pgw', 0.0)]","[('8bz', 5.0), ('g8f', 3.0), ('mjb', 4.0), ('1k3', 5.0), ('qoh', 5.0), ('pgw', 3.0)]","[('8bz', 1.0), ('g8f', 1.0), ('mjb', 1.0), ('1k3', 1.0), ('qoh', 1.0), ('pgw', 1.0)]"
yws,"['w9x', 'joy', 'g52']","['w9x', 'joy', 'g52']",[],[],[],[],"[('w9x', 3.0), ('joy', 2.0), ('g52', 3.0)]","[('w9x', 5.0), ('joy', 5.0), ('g52', 5.0)]","[('w9x', 1.0), ('joy', 1.0), ('g52', 1.0)]"
